Заболели;Умерли;Вылечились;Активные случаи
Доминика;5589;35;0;5554
Острова Кайман;5532;4;0;5528
Сент-Винсент и Гренадины;5391;73;0;5318
Чад;5107;175;0;4932
Синт-Мартен;4561;75;0;4486
Коморы;4440;150;0;4290
Антигуа и Барбуда;4135;108;0;4027
Лихтенштейн;4131;61;0;4070
Сен-Мартен;3993;56;0;3937
Сан-Томе и Принсипи;3731;56;0;3675
Монако;3552;36;0;3516
Фарерские о-ва;3169;12;0;3157
о-ва Тёркс и Кайкос;3076;23;0;3053
Виргинские о-ва ;2765;38;0;2727
Сент-Китс и Невис;2764;28;0;2736
Бутан;2632;3;0;2629
Сен-Бартелеми;1661;6;0;1655
Ангилья;1268;3;0;1265
Гренландия;1129;0;0;1129
Лайнер «Даймонд Принсесс»;712;13;0;699
Фолклендские о-ва;79;0;0;79
Монтсеррат;44;1;0;43
Сен-Пьер и Микелон;34;0;0;34
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;8;0;0;8
Вануату;6;1;0;5
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Тонга;1;0;0;1
Федеративные Штаты Микронезии;1;0;0;1
Всего;257364701;5152671;8024930;244187100
